Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
277901,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277899,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277897,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277895,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277893,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277892,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277889,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277888,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277885,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
277884,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN ESPAÑOLA PARA LA CIENCIA Y LA TECNOLOGÍA,31/12/2014,EDSC del año,
