Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,20132013201101,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RES 30/ENERO/2013 CENTRO DES TEC IND APRUEBA CONV AÑO 2013 PARA CCAA EXTREMADURA PROC CONCESION SUBV DESTINADAS A FOMENTAR COOPERACION PUBLICO-PRIVADA(I+D) EN AREAS DE IMPORTANCIA PARA EL DESARROLLO ECONOMICO ESPAÑOL(PROG FEDER-INNTERCONECTA),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,20132013201201,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RES 30/ENERO/2013 CENTRO DES TEC IND APRUEBA CONVOCATORIA AÑO 2013 CCAA GALICIA CONCESION SUBVENCIONES DESTINADAS A FOMENTAR LA COOPERACION PUBLICO-PRIVADA (I+D) EN AREAS DE IMPORTANCIA PARA EL DESARROLLO ECONOMICO ESPAÑOL(PROG FEDER-INNTERCONECTA),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,2013201323019991,,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",11/01/2014,NO,,,"Orden APA/337/2013 de 20 de febrero, pro la que se convocan subvenciones para el desarrollo de nuevos mercados y campañas de promoción de los productos de la pesca y de la acuicultura.",,,DIRECCIÓN GENERAL DE ALIMENTACIÓN,
ESTADO,,20132013310401,,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",28/01/2014,NO,,,"Resolución de 11 de marzo de 2013, de la Secretaría General de Cooperación Internacional para el Desarrollo, por la que se convocan subvenciones para la celebración de congresos, seminarios y jornadas relacionadas con la cooperación al desarrollo",,,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,
ESTADO,,20132013327901,,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,15/01/2014,NO,,,"Concesión de subvenciones para la realización de proyectos de Voluntariado en el Marco del Plan de Sensibilización y Voluntariado en la Red de PPNN, y centros y fincas adscritos el OAPN, para el año 2013",,,ORGANISMO AUTÓNOMO PARQUES NACIONALES,
ESTADO,,20132013517201,,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",28/01/2014,NO,,,"Resolución de 6 de mayo de 2013, de la Secretaría de Estado de Cooperación Internacional y para Iberoamérica, por la que se publica la convocatoria correspondiente a 2013 del Premio Bartolomé de las Casas",,,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,
ESTADO,,20132013568901,,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",21/01/2014,NO,,,"Resolución de 22 de mayo de 2013, de la D.G. Españoles en Exterior y Asuntos Consulares y Migratorios, se convocan subvenciones a instituciones asistenciales que prestan ayuda a españoles en situación de necesidad en el extranjero, para el ejercicio 2013.",,,DIRECCIÓN GENERAL DE ESPAÑOLES EN EL EXTERIOR Y DE ASUNTOS CONSULARES,
ESTADO,,20132013598511,,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",09/01/2014,NO,,,Res. 16/05/13 del IMSERSO por la que se convoca la concesión de subvenciones a personas mayores y a entidades y ONG dedicadas a la realización de porogramas y actividades a favos de dicho colectivo con residencia en Ceuta y Mel. para 2013,,,INSTITUTO DE MAYORES Y SERVICIOS SOCIALES,
ESTADO,,20132013664001,,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",15/01/2014,NO,,,PREMIOS NACIONALES DE COMERCIO INTERIOR,,,DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL,
ESTADO,,20132013664011,,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",17/01/2014,NO,,,"Orden ECC/1130/2013, de 3 de junio, por la que se convocan para el año 2013 los Premios Nacionales de Comercio Interior",,,DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL,
ESTADO,,20132013672301,,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",23/01/2014,NO,,,"Subvenciones a las Organizaciones No Gubernamentales de Desarrollo para la realización de proyectos de cooperación para el desarrollo, incluidos los de Educación para el Desarrollo en España, correspondiente al año 2013.",,,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,
ESTADO,,20132013678801,,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",28/01/2014,NO,,,"Resolución de 10 de junio de 2013, de la Secretaría de Estado de Cooperación Internacional y para Iberomáerica, por la que se convocan subvenciones para la realización de actividades en el marco del Plan Director de la Cooperación española a fundaciones y",,,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,
ESTADO,,20132013705201,,MINISTERIO DE INDUSTRIA Y TURISMO,16/01/2014,NO,,,Convocatoria correspondiente a 2013 de las subvenciones establecidas para el impulso de las redes de «business angels» relacionadas con su creación.,,,DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA,
ESTADO,,20132013705301,,MINISTERIO DE INDUSTRIA Y TURISMO,17/01/2014,NO,,,Convocatoria correspondiente a 2013 de las subvenciones establecidas para el impulso de las redes de «business angels» relacionadas con su funcionamiento.,,,DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA,
ESTADO,,20132013773901,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,28/01/2014,NO,,,"Orden ESS/1338/2013, de 11 de julio, por la que se convoca, para el año 2013, la concesión de subvenciones a las actividades de promoción del t.a.,de la econ. soc. y resp. soc. de las empresas",,,DIRECCIÓN GENERAL DEL TRABAJO AUTÓNOMO,
ESTADO,,20132013790401,,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",22/01/2014,NO,,,"Real Dec.536/2013, de 12 de julio, por el que se establec las bases regulad de la subv. estat. destinadas a la realizac. de prog. de interés gral. con cargo al I.R.P.F. en ámbito de la Sec de Estad de Serv. Soc. e Igualdad",,,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,
ESTADO,,20132013823701,,MINISTERIO DE IGUALDAD,17/01/2014,NO,,,"Orden SSI/1434/2013, de 22 de julio, por la que se aprueban las bases reguladoras para la concesión de las subvenciones públicas destinadas a proyectos de atención a mujeres víctimas de trata de seres humanos con fines de explotación sexual.",,,DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO,
ESTADO,,20132013907101,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",17/01/2014,NO,,,"Resolución 29/julio/2013 de la Secretaría de Estado de Esducación, Formación Profesional y Universidades, por la que se convocan los Premios Nacionales de Educación no Universitaria.",,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
